time;ue_id;ap_id;mcs_index;efficiency;bandwidth;rate
3.073759566347378;ue_0;ap_5;27;7.4063;50000000.0;370315000.0
3.073759566347378;ue_9;ap_5;23;6.2266;50000000.0;311330000.0
3.073759566347378;ue_0;ap_5;24;6.5703;50000000.0;328515000.0
3.073759566347378;ue_9;ap_5;23;6.2266;50000000.0;311330000.0
3.1336518097719264;ue_3;ap_0;11;2.7305;50000000.0;136525000.0
3.1336518097719264;ue_4;ap_0;18;4.8164;50000000.0;240820000.0
3.1336518097719264;ue_3;ap_0;11;2.7305;50000000.0;136525000.0
3.1336518097719264;ue_4;ap_0;15;3.9023;50000000.0;195115000.0
3.4887337079630285;ue_0;ap_5;24;6.5703;50000000.0;328515000.0
3.4887337079630285;ue_9;ap_5;27;7.4063;50000000.0;370315000.0
3.4887337079630285;ue_0;ap_5;24;6.5703;50000000.0;328515000.0
3.4887337079630285;ue_9;ap_5;23;6.2266;50000000.0;311330000.0
3.5704087590326576;ue_3;ap_0;14;3.6094;50000000.0;180470000.0
3.5704087590326576;ue_4;ap_0;15;3.9023;50000000.0;195115000.0
3.5704087590326576;ue_3;ap_0;11;2.7305;50000000.0;136525000.0
3.5704087590326576;ue_4;ap_0;15;3.9023;50000000.0;195115000.0
3.573759566347378;ue_0;ap_5;27;7.4063;50000000.0;370315000.0
3.573759566347378;ue_9;ap_5;23;6.2266;50000000.0;311330000.0
3.573759566347378;ue_0;ap_5;24;6.5703;50000000.0;328515000.0
3.573759566347378;ue_9;ap_5;23;6.2266;50000000.0;311330000.0
3.6336518097719264;ue_3;ap_0;11;2.7305;50000000.0;136525000.0
3.6336518097719264;ue_4;ap_0;18;4.8164;50000000.0;240820000.0
3.6336518097719264;ue_3;ap_0;11;2.7305;50000000.0;136525000.0
3.6336518097719264;ue_4;ap_0;15;3.9023;50000000.0;195115000.0
3.9887337079630285;ue_0;ap_5;24;6.5703;50000000.0;328515000.0
3.9887337079630285;ue_9;ap_5;27;7.4063;50000000.0;370315000.0
3.9887337079630285;ue_0;ap_5;24;6.5703;50000000.0;328515000.0
3.9887337079630285;ue_9;ap_5;23;6.2266;50000000.0;311330000.0
4.070408759032658;ue_3;ap_0;14;3.6094;50000000.0;180470000.0
4.070408759032658;ue_4;ap_0;15;3.9023;50000000.0;195115000.0
4.070408759032658;ue_3;ap_0;11;2.7305;50000000.0;136525000.0
4.070408759032658;ue_4;ap_0;15;3.9023;50000000.0;195115000.0
4.073759566347378;ue_0;ap_5;27;7.4063;50000000.0;370315000.0
4.073759566347378;ue_9;ap_5;23;6.2266;50000000.0;311330000.0
4.073759566347378;ue_0;ap_5;24;6.5703;50000000.0;328515000.0
4.073759566347378;ue_9;ap_5;23;6.2266;50000000.0;311330000.0
4.133651809771926;ue_3;ap_0;11;2.7305;50000000.0;136525000.0
4.133651809771926;ue_4;ap_0;18;4.8164;50000000.0;240820000.0
4.133651809771926;ue_3;ap_0;11;2.7305;50000000.0;136525000.0
4.133651809771926;ue_4;ap_0;15;3.9023;50000000.0;195115000.0
4.4887337079630285;ue_0;ap_5;24;6.5703;50000000.0;328515000.0
4.4887337079630285;ue_9;ap_5;27;7.4063;50000000.0;370315000.0
4.4887337079630285;ue_0;ap_5;24;6.5703;50000000.0;328515000.0
4.4887337079630285;ue_9;ap_5;23;6.2266;50000000.0;311330000.0
4.570408759032658;ue_3;ap_0;14;3.6094;50000000.0;180470000.0
4.570408759032658;ue_4;ap_0;15;3.9023;50000000.0;195115000.0
4.570408759032658;ue_3;ap_0;11;2.7305;50000000.0;136525000.0
4.570408759032658;ue_4;ap_0;15;3.9023;50000000.0;195115000.0
4.573759566347378;ue_0;ap_5;27;7.4063;50000000.0;370315000.0
4.573759566347378;ue_9;ap_5;23;6.2266;50000000.0;311330000.0
4.573759566347378;ue_0;ap_5;24;6.5703;50000000.0;328515000.0
4.573759566347378;ue_9;ap_5;23;6.2266;50000000.0;311330000.0
4.633651809771926;ue_3;ap_0;11;2.7305;50000000.0;136525000.0
4.633651809771926;ue_4;ap_0;18;4.8164;50000000.0;240820000.0
4.633651809771926;ue_3;ap_0;11;2.7305;50000000.0;136525000.0
4.633651809771926;ue_4;ap_0;15;3.9023;50000000.0;195115000.0
4.9887337079630285;ue_0;ap_5;24;6.5703;50000000.0;328515000.0
4.9887337079630285;ue_9;ap_5;27;7.4063;50000000.0;370315000.0
4.9887337079630285;ue_0;ap_5;24;6.5703;50000000.0;328515000.0
4.9887337079630285;ue_9;ap_5;23;6.2266;50000000.0;311330000.0
5.0;ue_3;ap_0;12;3.0293;50000000.0;151465000.0
5.0;ue_4;ap_0;14;3.6094;50000000.0;180470000.0
5.0;ue_0;ap_5;23;6.2266;50000000.0;311330000.0
5.0;ue_9;ap_5;24;6.5703;50000000.0;328515000.0
5.0;ue_8;ap_6;12;3.0293;100000000.0;302930000.0
5.0;ue_6;ap_8;15;3.9023;100000000.0;390230000.0
5.0;ue_7;ap_9;15;3.9023;100000000.0;390230000.0
5.070047518788267;ue_3;ap_0;15;3.9023;50000000.0;195115000.0
5.070047518788267;ue_4;ap_0;14;3.6094;50000000.0;180470000.0
5.070047518788267;ue_3;ap_0;12;3.0293;50000000.0;151465000.0
5.070047518788267;ue_4;ap_0;14;3.6094;50000000.0;180470000.0
5.073843578742242;ue_0;ap_5;27;7.4063;50000000.0;370315000.0
5.073843578742242;ue_9;ap_5;24;6.5703;50000000.0;328515000.0
5.073843578742242;ue_0;ap_5;23;6.2266;50000000.0;311330000.0
