cab_id;t_start;t_end
upthin_95;1212781198;1212781271
upthin_96;1212781323;1212781335
upthin_97;1212781378;1212781395
upthin_98;1212781438;1212781456
upthin_99;1212781501;1212781516
upthin_100;1212781560;1212782027
upthin_101;1212782094;1212782136
upthin_102;1212782205;1212782278
upthin_103;1212782320;1212782345
upthin_104;1212782380;1212782400
upthin_105;1212782440;1212782485
upthin_106;1212782500;1212782551
upthin_107;1212782560;1212782605
upthin_108;1212782620;1212782665
upthin_109;1212782680;1212782699
upthin_110;1212782729;1212782749
upthin_111;1212782778;1212782817
upthin_112;1212782839;1212782875
upthin_113;1212782900;1212782934
upthin_114;1212782970;1212783000
upthin_115;1212783021;1212783054
upthin_116;1212783081;1212783090
upthin_117;1212783145;1212783154
upthin_118;1212783201;1212783226
upthin_119;1212783261;1212783291
upthin_120;1212783451;1212783479
upthin_121;1212783512;1212783531
upthin_122;1212784594;1212784596
upthin_123;1212784719;1212784723
upthin_124;1212784768;1212784794
upthin_125;1212784837;1212784891
upthin_126;1212784961;1212785013
upthin_127;1212785059;1212785078
upthin_128;1212785131;1212785142
upthin_129;1212785191;1212785200
upthin_130;1212785251;1212785318
upthin_131;1212785372;1212785383
upthin_132;1212785432;1212786558
upthin_133;1212786590;1212786634
upthin_134;1212786656;1212786694
upthin_135;1212786726;1212786754
upthin_136;1212786776;1212786814
upthin_137;1212786836;1212786874
upthin_138;1212788396;1212788413
upthin_139;1212788463;1212788483
upthin_140;1212788634;1212788682
upthin_141;1212788721;1212788748
upthin_142;1212788785;1212788808
upthin_143;1212788841;1212788868
upthin_144;1212789790;1212789825
upthin_145;1212789850;1212789887
upthin_146;1212789911;1212789934
upthin_147;1212789972;1212789973
upthin_148;1212790042;1212790091
upthin_149;1212790092;1212790162
upthin_150;1212790168;1212790174
upthin_151;1212790283;1212790287
upthin_152;1212790343;1212790460
upthin_153;1212790466;1212790522
upthin_154;1212791296;1212791315
upthin_155;1212791356;1212791375
upthin_156;1212791416;1212791435
upthin_157;1212791474;1212791497
upthin_158;1212791546;1212791556
upthin_159;1212791606;1212791621
upthin_160;1212791671;1212791713
upthin_161;1212791744;1212791747
upthin_162;1212791786;1212791816
upthin_163;1212791862;1212791871
upthin_164;1212791917;1212791931
upthin_165;1212791980;1212791993
upthin_166;1212792044;1212792052
upthin_167;1212792099;1212792132
upthin_168;1212792164;1212792192
upthin_169;1212792207;1212792252
upthin_170;1212792344;1212792373
upthin_171;1212792402;1212792433
upthin_172;1212792457;1212792494
upthin_173;1212792523;1212792555
upthin_174;1212792577;1212792620
upthin_175;1212792635;1212792686
upthin_176;1212792732;1212792741
upthin_177;1212792788;1212792806
upthin_178;1212792849;1212792856
upthin_179;1212792914;1212792923
upthin_180;1212793044;1212793065
upthin_181;1212793987;1212794039
upthin_182;1212794041;1212794104
upthin_183;1212794165;1212794217
upthin_184;1212794224;1212794254
upthin_185;1212794285;1212794309
upthin_186;1212801566;1212801888
upthin_187;1212801927;1212801947
upthin_188;1212801990;1212802008
upthin_189;1212802011;1212802073
upthin_190;1212802365;1212802368
upthin_191;1212802381;1212802428
upthin_192;1212802445;1212802482
upthin_193;1212802501;1212802503
upthin_194;1212802563;1212802597
upthin_195;1212802628;1212802704
upthin_196;1212802744;1212802759
upthin_197;1212803024;1212803044
upthin_198;1212803084;1212803104
upthin_199;1212803144;1212803174
upthin_200;1212803204;1212803230
upthin_201;1212803237;1212803285
upthin_202;1212803299;1212803348
upthin_203;1212803359;1212803480
upthin_204;1212803487;1212803527
upthin_205;1212803548;1212803587
upthin_206;1212803609;1212803648
upthin_207;1212803669;1212803718
upthin_208;1212803729;1212803773
upthin_209;1212803789;1212803809
upthin_210;1212803854;1212803866
upthin_211;1212803910;1212803935
upthin_212;1212803970;1212804110
upthin_213;1212804121;1212804148
upthin_214;1212804181;1212804270
upthin_215;1212804301;1212804340
upthin_216;1212804361;1212804383
upthin_217;1212804412;1212804448
upthin_218;1212804473;1212804504
upthin_219;1212804530;1212804564
upthin_220;1212804591;1212804625
upthin_221;1212804651;1212804684
upthin_222;1212804712;1212804749
upthin_223;1212804985;1212805018
upthin_224;1212805050;1212805074
upthin_225;1212805089;1212805137
upthin_226;1212805191;1212805195
upthin_227;1212805204;1212805207
